YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2010/02,Structural Fires,Queens,390,04:30
2010/03,All Fire/Emergency Incidents,Citywide,44564,04:44
2010/03,All Fire/Emergency Incidents,Manhattan,10558,04:43
2010/03,All Fire/Emergency Incidents,Bronx,8781,04:55
2010/03,All Fire/Emergency Incidents,Staten Island,3555,05:38
2010/03,All Fire/Emergency Incidents,Brooklyn,12672,04:12
2010/03,All Fire/Emergency Incidents,Queens,8998,05:01
2010/03,False Alarm,Citywide,2157,04:33
2010/03,False Alarm,Manhattan,356,04:33
2010/03,False Alarm,Bronx,581,04:41
2010/03,False Alarm,Staten Island,211,04:54
2010/03,False Alarm,Brooklyn,432,03:59
2010/03,False Alarm,Queens,577,04:41
2010/03,Medical Emergencies,Citywide,16929,04:17
2010/03,Medical Emergencies,Manhattan,4441,04:22
2010/03,Medical Emergencies,Bronx,3221,04:24
2010/03,Medical Emergencies,Staten Island,813,04:41
2010/03,Medical Emergencies,Brooklyn,4932,03:55
2010/03,Medical Emergencies,Queens,3522,04:33
2010/03,Medical False Alarm,Citywide,368,04:18
2010/03,Medical False Alarm,Manhattan,75,04:10
2010/03,Medical False Alarm,Bronx,68,04:30
2010/03,Medical False Alarm,Staten Island,8,04:13
2010/03,Medical False Alarm,Brooklyn,127,03:59
2010/03,Medical False Alarm,Queens,90,04:40
2010/03,NonMedical Emergencies,Citywide,21125,05:10
2010/03,NonMedical Emergencies,Manhattan,4826,05:03
2010/03,NonMedical Emergencies,Bronx,4157,05:24
2010/03,NonMedical Emergencies,Staten Island,2253,06:11
2010/03,NonMedical Emergencies,Brooklyn,5825,04:31
2010/03,NonMedical Emergencies,Queens,4064,05:31
2010/03,NonStructural Fires,Citywide,1660,04:24
2010/03,NonStructural Fires,Manhattan,348,04:14
2010/03,NonStructural Fires,Bronx,243,04:30
2010/03,NonStructural Fires,Staten Island,139,04:49
